scenario,t,dt,x,y,heading,v,front,left,right,goal_dist,goal_sin,goal_cos,action_id,action_str,done,done_reason
scenarios/train_001.json,0,0.05,0.0049913,0.000294829,0.059,0.1,999,999,999,10.0389,-0.205595,0.978637,3,TURN_RIGHT,0,none
scenarios/train_001.json,1,0.05,0.0149739,0.000884487,0.059,0.2,6.06545,999,999,10.034,-0.146614,0.989194,1,GO_FORWARD,0,none
scenarios/train_001.json,2,0.05,0.0299478,0.00176897,0.059,0.3,6.05545,999,999,10.0241,-0.146759,0.989172,1,GO_FORWARD,0,none
scenarios/train_001.json,3,0.05,0.049913,0.00294829,0.059,0.4,6.04044,999,999,10.0092,-0.146976,0.98914,1,GO_FORWARD,0,none
scenarios/train_001.json,4,0.05,0.0748695,0.00442243,0.059,0.5,6.02044,999,999,9.98945,-0.147267,0.989097,1,GO_FORWARD,0,none
scenarios/train_001.json,5,0.05,0.104817,0.00619141,0.059,0.6,5.99544,999,999,9.96473,-0.147633,0.989042,1,GO_FORWARD,0,none
scenarios/train_001.json,6,0.05,0.139756,0.00825521,0.059,0.7,5.96545,999,999,9.93505,-0.148074,0.988976,1,GO_FORWARD,0,none
scenarios/train_001.json,7,0.05,0.179687,0.0106138,0.059,0.8,5.93044,999,999,9.90044,-0.148591,0.988899,1,GO_FORWARD,0,none
scenarios/train_001.json,8,0.05,0.224609,0.0132673,0.059,0.9,5.89045,999,999,9.86089,-0.149188,0.988809,1,GO_FORWARD,0,none
scenarios/train_001.json,9,0.05,0.274522,0.0162156,0.059,1,5.84544,999,999,9.81639,-0.149864,0.988707,1,GO_FORWARD,0,none
scenarios/train_001.json,10,0.05,0.329522,0.0161606,-0.001,1.1,5.79544,999,999,9.76696,-0.150622,0.988591,3,TURN_RIGHT,0,none
scenarios/train_001.json,11,0.05,0.389521,0.0161006,-0.001,1.2,5.39716,999,999,9.71219,-0.0915849,0.995797,1,GO_FORWARD,0,none
scenarios/train_001.json,12,0.05,0.454521,0.0160356,-0.001,1.3,5.33717,999,999,9.65244,-0.0921518,0.995745,1,GO_FORWARD,0,none
scenarios/train_001.json,13,0.05,0.524521,0.0159656,-0.001,1.4,5.27217,999,999,9.58772,-0.0927738,0.995687,1,GO_FORWARD,0,none
scenarios/train_001.json,14,0.05,0.599521,0.0158906,-0.001,1.5,5.20217,999,999,9.51803,-0.0934532,0.995624,1,GO_FORWARD,0,none
scenarios/train_001.json,15,0.05,0.679521,0.0158106,-0.001,1.6,5.12717,999,999,9.44336,-0.0941921,0.995554,1,GO_FORWARD,0,none
scenarios/train_001.json,16,0.05,0.764521,0.0157256,-0.001,1.7,5.04716,999,999,9.36372,-0.0949932,0.995478,1,GO_FORWARD,0,none
scenarios/train_001.json,17,0.05,0.854521,0.0156356,-0.001,1.8,4.96217,999,999,9.2791,-0.0958594,0.995395,1,GO_FORWARD,0,none
scenarios/train_001.json,18,0.05,0.949521,0.0155406,-0.001,1.9,4.87217,999,999,9.18952,-0.0967939,0.995304,1,GO_FORWARD,0,none
scenarios/train_001.json,19,0.05,1.04952,0.0154406,-0.001,2,4.77717,999,999,9.09497,-0.0978001,0.995206,1,GO_FORWARD,0,none
scenarios/train_001.json,20,0.05,1.14952,0.0153406,-0.001,2,4.67716,999,999,8.99546,-0.0988821,0.995099,1,GO_FORWARD,0,none
scenarios/train_001.json,21,0.05,1.24952,0.0152406,-0.001,2,4.57716,999,999,8.89595,-0.0999881,0.994989,1,GO_FORWARD,0,none
scenarios/train_001.json,22,0.05,1.34952,0.0151406,-0.001,2,4.47716,999,999,8.79646,-0.101119,0.994874,1,GO_FORWARD,0,none
scenarios/train_001.json,23,0.05,1.44952,0.0150406,-0.001,2,4.37717,999,999,8.69698,-0.102276,0.994756,1,GO_FORWARD,0,none
scenarios/train_001.json,24,0.05,1.54952,0.0149406,-0.001,2,4.27716,999,999,8.59751,-0.103459,0.994634,1,GO_FORWARD,0,none
scenarios/train_001.json,25,0.05,1.64952,0.0148406,-0.001,2,4.17716,999,999,8.49805,-0.10467,0.994507,1,GO_FORWARD,0,none
scenarios/train_001.json,26,0.05,1.74952,0.0147406,-0.001,2,4.07716,999,999,8.39861,-0.105909,0.994376,1,GO_FORWARD,0,none
scenarios/train_001.json,27,0.05,1.84952,0.0146406,-0.001,2,3.97717,999,999,8.29918,-0.107178,0.99424,1,GO_FORWARD,0,none
scenarios/train_001.json,28,0.05,1.94952,0.0145406,-0.001,2,3.87717,999,999,8.19976,-0.108478,0.994099,1,GO_FORWARD,0,none
scenarios/train_001.json,29,0.05,2.04952,0.0144406,-0.001,2,3.77717,999,999,8.10036,-0.109809,0.993953,1,GO_FORWARD,0,none
scenarios/train_001.json,30,0.05,2.14952,0.0143406,-0.001,2,3.67716,999,999,8.00097,-0.111173,0.993801,1,GO_FORWARD,0,none
scenarios/train_001.json,31,0.05,2.24952,0.0142406,-0.001,2,3.57716,999,999,7.9016,-0.112571,0.993644,1,GO_FORWARD,0,none
scenarios/train_001.json,32,0.05,2.34952,0.0141406,-0.001,2,3.47717,999,999,7.80224,-0.114004,0.99348,1,GO_FORWARD,0,none
scenarios/train_001.json,33,0.05,2.44952,0.0140406,-0.001,2,3.37717,999,999,7.7029,-0.115475,0.99331,1,GO_FORWARD,0,none
scenarios/train_001.json,34,0.05,2.54952,0.0139406,-0.001,2,3.27716,999,999,7.60358,-0.116983,0.993134,1,GO_FORWARD,0,none
scenarios/train_001.json,35,0.05,2.64952,0.0138406,-0.001,2,3.17717,999,999,7.50428,-0.118531,0.99295,1,GO_FORWARD,0,none
scenarios/train_001.json,36,0.05,2.74952,0.0137406,-0.001,2,3.07717,999,999,7.40499,-0.12012,0.992759,1,GO_FORWARD,0,none
scenarios/train_001.json,37,0.05,2.84952,0.0136406,-0.001,2,2.97717,999,999,7.30572,-0.121752,0.992561,1,GO_FORWARD,0,none
scenarios/train_001.json,38,0.05,2.94952,0.0135406,-0.001,2,2.87717,999,999,7.20648,-0.123429,0.992353,1,GO_FORWARD,0,none
scenarios/train_001.json,39,0.05,3.04952,0.0134406,-0.001,2,2.77717,999,999,7.10725,-0.125152,0.992138,1,GO_FORWARD,0,none
scenarios/train_001.json,40,0.05,3.14952,0.0133406,-0.001,2,2.67717,999,999,7.00805,-0.126924,0.991912,1,GO_FORWARD,0,none
scenarios/train_001.json,41,0.05,3.24952,0.0132406,-0.001,2,2.57717,999,999,6.90887,-0.128746,0.991678,1,GO_FORWARD,0,none
scenarios/train_001.json,42,0.05,3.34935,0.0191372,0.059,2,2.47717,999,999,6.80972,-0.130621,0.991432,2,TURN_LEFT,0,none
scenarios/train_001.json,43,0.05,3.44864,0.0310091,0.119,2,2.48601,999,999,6.71156,-0.192612,0.981275,2,TURN_LEFT,0,none
scenarios/train_001.json,44,0.05,3.54704,0.0488137,0.179,2,2.59951,999,4.25436,6.61481,-0.254779,0.966999,2,TURN_LEFT,0,none
scenarios/train_001.json,45,0.05,3.64633,0.0606856,0.119,2,999,999,2.52812,6.51989,-0.316853,0.948475,3,TURN_RIGHT,0,none
scenarios/train_001.json,46,0.05,3.74474,0.0784902,0.179,2,2.41243,999,3.99014,6.42337,-0.263307,0.964712,2,TURN_LEFT,0,none
scenarios/train_001.json,47,0.05,3.84403,0.0903621,0.119,2,999,999,2.17634,6.32873,-0.325476,0.94555,3,TURN_RIGHT,0,none
scenarios/train_001.json,48,0.05,3.94243,0.108167,0.179,2,2.22592,999,2.22344,6.23245,-0.272335,0.962203,2,TURN_LEFT,0,none
scenarios/train_001.json,49,0.05,4.04172,0.120039,0.119,2,999,999,1.89113,6.13812,-0.334606,0.942358,3,TURN_RIGHT,0,none
scenarios/train_001.json,50,0.05,4.14013,0.137843,0.179,2,2.04004,999,1.86914,6.04211,-0.281906,0.959442,2,TURN_LEFT,0,none
scenarios/train_001.json,51,0.05,4.23942,0.149715,0.119,2,999,999,1.63978,5.94813,-0.344286,0.938865,3,TURN_RIGHT,0,none
scenarios/train_001.json,52,0.05,4.33782,0.16752,0.179,2,1.85487,999,1.58736,5.85242,-0.292068,0.956398,2,TURN_LEFT,0,none
scenarios/train_001.json,53,0.05,4.43711,0.179392,0.119,2,999,999,1.41154,5.75881,-0.354563,0.935032,3,TURN_RIGHT,0,none
scenarios/train_001.json,54,0.05,4.53551,0.197196,0.179,2,1.67052,999,1.3424,5.66343,-0.302873,0.953031,2,TURN_LEFT,0,none
scenarios/train_001.json,55,0.05,4.63481,0.209068,0.119,2,999,999,1.2014,5.57023,-0.36549,0.930815,3,TURN_RIGHT,0,none
scenarios/train_001.json,56,0.05,4.73321,0.226873,0.179,2,1.48711,999,1.1228,5.47521,-0.31438,0.949297,2,TURN_LEFT,0,none
scenarios/train_001.json,57,0.05,4.8325,0.238745,0.119,2,999,999,1.00672,5.38246,-0.377126,0.926162,3,TURN_RIGHT,0,none
scenarios/train_001.json,58,0.05,4.9309,0.256549,0.179,2,1.30481,999,0.923326,5.28785,-0.326653,0.945144,2,TURN_LEFT,0,none
scenarios/train_001.json,59,0.05,5.0302,0.268421,0.119,2,999,999,0.826092,5.1956,-0.389535,0.921011,3,TURN_RIGHT,0,none
scenarios/train_001.json,60,0.05,5.1286,0.286226,0.179,2,1.12386,999,0.741325,5.10144,-0.339765,0.940511,2,TURN_LEFT,0,none
scenarios/train_001.json,61,0.05,5.22789,0.298098,0.119,2,999,999,0.658913,5.00975,-0.402789,0.915293,3,TURN_RIGHT,0,none
scenarios/train_001.json,62,0.05,5.32629,0.315902,0.179,2,0.944575,999,0.575568,4.9161,-0.353794,0.935323,2,TURN_LEFT,0,none
scenarios/train_001.json,63,0.05,5.42559,0.327774,0.119,2,999,999,0.505239,4.82503,-0.416967,0.908921,3,TURN_RIGHT,0,none
scenarios/train_001.json,64,0.05,5.52399,0.345579,0.179,2,0.767442,999,0.425816,4.73194,-0.36883,0.929497,2,TURN_LEFT,0,none
scenarios/train_001.json,65,0.05,5.62328,0.357451,0.119,2,999,999,0.365786,4.64156,-0.432157,0.901798,3,TURN_RIGHT,0,none
scenarios/train_001.json,66,0.05,5.72168,0.375255,0.179,2,0.593249,999,0.29275,4.54911,-0.384972,0.922928,2,TURN_LEFT,0,none
scenarios/train_001.json,67,0.05,5.82098,0.387127,0.119,2,999,999,0.242129,4.45951,-0.448455,0.893806,3,TURN_RIGHT,0,none
scenarios/train_001.json,68,0.05,5.91938,0.404932,0.179,2,0.42344,999,0.178184,4.36778,-0.402327,0.915496,2,TURN_LEFT,0,none
scenarios/train_001.json,69,0.05,6.01867,0.416804,0.119,2,999,999,0.137206,4.27905,-0.465966,0.884803,3,TURN_RIGHT,0,none
scenarios/train_001.json,70,0.05,6.11707,0.434608,0.179,2,0.261311,999,0.0857529,4.18813,-0.421016,0.907053,2,TURN_LEFT,0,none
scenarios/train_001.json,71,0.05,6.21637,0.44648,0.119,2,999,999,0.0566427,4.10039,-0.484806,0.874622,3,TURN_RIGHT,0,none
scenarios/train_001.json,72,0.05,6.31477,0.464285,0.179,2,0.119973,999,0.0228541,4.01041,-0.441169,0.897424,2,TURN_LEFT,0,none
scenarios/train_001.json,73,0.05,6.41406,0.476157,0.119,2,999,999,0.0129603,3.92379,-0.505098,0.863062,3,TURN_RIGHT,0,none
scenarios/train_001.json,74,0.05,6.51389,0.482053,0.059,2,999,999,0.00771928,3.83488,-0.462926,0.886397,3,TURN_RIGHT,0,none
scenarios/train_001.json,75,0.05,6.61389,0.481953,-0.001,2,999,999,0.0125442,3.74384,-0.418885,0.908039,3,TURN_RIGHT,0,none
scenarios/train_001.json,76,0.05,6.7137,0.475857,-0.061,2,999,999,0.0309381,3.65087,-0.372943,0.927854,3,TURN_RIGHT,0,none
scenarios/train_001.json,77,0.05,6.8137,0.475757,-0.001,2,0.728259,999,0.0701379,3.55616,-0.325067,0.945691,2,TURN_LEFT,0,none
scenarios/train_001.json,78,0.05,6.91351,0.469661,-0.061,2,999,999,0.327001,3.46392,-0.39134,0.920246,3,TURN_RIGHT,0,none
scenarios/train_001.json,79,0.05,7.01351,0.469561,-0.001,2,0.562093,999,0.256095,3.36988,-0.344815,0.938671,2,TURN_LEFT,0,none
scenarios/train_001.json,80,0.05,7.11333,0.463465,-0.061,2,999,999,0.208075,3.27849,-0.411644,0.911345,3,TURN_RIGHT,0,none
scenarios/train_001.json,81,0.05,7.21333,0.463365,-0.001,2,0.409667,999,0.147667,3.18525,-0.366684,0.930345,2,TURN_LEFT,0,none
scenarios/train_001.json,82,0.05,7.31314,0.457268,-0.061,2,999,999,0.110755,3.09487,-0.43413,0.90085,3,TURN_RIGHT,0,none
scenarios/train_001.json,83,0.05,7.41241,0.445198,-0.121,2,999,999,0.0651045,3.00259,-0.390989,0.920395,3,TURN_RIGHT,0,none
scenarios/train_001.json,84,0.05,7.51222,0.439102,-0.061,2,0.0734123,999,0.0231653,2.90856,-0.345928,0.938261,2,TURN_LEFT,0,none
scenarios/train_001.json,85,0.05,7.61222,0.439002,-0.001,2,0.0100271,999,0.00157887,2.81726,-0.41458,0.910013,2,TURN_LEFT,0,none
scenarios/train_001.json,86,0.05,7.71204,0.432905,-0.061,2,999,999,0.00461528,2.72931,-0.483496,0.875346,3,TURN_RIGHT,0,none
scenarios/train_001.json,87,0.05,7.81131,0.420835,-0.121,2,999,999,0.0225517,2.63939,-0.444792,0.895634,3,TURN_RIGHT,0,none
scenarios/train_001.json,88,0.05,7.90967,0.402834,-0.181,2,999,999,0.0652056,2.54762,-0.404345,0.914607,3,TURN_RIGHT,0,none
scenarios/train_001.json,89,0.05,8.00678,0.378966,-0.241,2,999,999,0.174312,2.45415,-0.362057,0.932156,3,TURN_RIGHT,0,none
scenarios/train_001.json,90,0.05,8.10229,0.349319,-0.301,2,999,999,999,2.35912,-0.317816,0.948153,3,TURN_RIGHT,0,none
scenarios/train_001.json,91,0.05,8.19584,0.313998,-0.361,2,999,999,999,2.26272,-0.271482,0.962444,3,TURN_RIGHT,0,none
scenarios/train_001.json,92,0.05,8.28711,0.27313,-0.421,2,999,999,999,2.16513,-0.222895,0.974842,3,TURN_RIGHT,0,none
